string,frequency
org,154
net,139
com,138
edu,130
gov,130
co,62
mil,62
ac,46
info,33
biz,24
nom,17
gob,16
int,15
name,15
sch,13
or,12
pro,12
web,12
tv,11
asso,10
go,10
med,10
tm,10
coop,9
id,9
me,9
sc,8
art,7
gouv,6
ai,5
firm,5
in,5
ind,5
k12,5
ltd,5
ne,5
store,5
eng,4
gen,4
i,4
mobi,4
pr,4
press,4
rec,4
agro,3
arts,3
b,3
ed,3
fin,3
hotel,3
ia,3
inf,3
io,3
it,3
media,3
ms,3
ngo,3
nic,3
nt,3
pa,3
pe,3
per,3
perso,3
plc,3
pol,3
prd,3
priv,3
sa,3
school,3
shop,3
tec,3
tourism,3
tur,3
us,3
公司,3
網絡,3
a,2
adm,2
adv,2
al,2
alt,2
am,2
ap,2
asn,2
bar,2
bet,2
bib,2
blog,2
c,2
ca,2
club,2
cn,2
conf,2
cpa,2
cri,2
d,2
dr,2
e,2
eco,2
es,2
f,2
fm,2
fot,2
g,2
gv,2
h,2
health,2
hi,2
idv,2
k,2
ks,2
l,2
law,2
lib,2
m,2
ma,2
mi,2
mo,2
mt,2
mus,2
museum,2
musica,2
n,2
nat,2
nc,2
nm,2
nome,2
ntr,2
o,2
p,2
pb,2
pp,2
presse,2
prof,2
pub,2
publ,2
pvt,2
r,2
rel,2
rep,2
res,2
rio,2
s,2
sd,2
seg,2
sex,2
sld,2
soc,2
sport,2
t,2
taxi,2
travel,2
u,2
univ,2
vet,2
w,2
wa,2
wiki,2
www,2
x,2
y,2
z,2
zp,2
個人,2
政府,2
教育,2
組織,2
网络,2
0,1
1,1
2,1
2000,1
3,1
4,1
5,1
5g,1
6,1
6g,1
7,1
8,1
9,1
9guacu,1
aaa,1
ab,1
abc,1
abg,1
abo,1
aca,1
academia,1
accident-investigation,1
accident-prevention,1
acct,1
act,1
adult,1
aero,1
aerobatic,1
aeroclub,1
aerodrome,1
africa,1
agents,1
agr,1
agrar,1
agri,1
agric,1
agron,1
ah,1
aid,1
aip,1
air-surveillance,1
air-traffic-control,1
aircraft,1
airline,1
airport,1
airtraffic,1
aju,1
ak,1
aland,1
ambulance,1
anani,1
angiang,1
ann-arbor,1
aparecida,1
api,1
app,1
ar,1
architectes,1
arq,1
arqt,1
arte,1
as,1
ass,1
assn,1
association,1
assur,1
atm,1
ato,1
augustow,1
author,1
auto,1
av,1
avocat,1
avocats,1
avoues,1
az,1
aéroport,1
ba,1
babia-gora,1
bacgiang,1
backan,1
baclieu,1
bacninh,1
ballooning,1
bank,1
baria-vungtau,1
barueri,1
bbs,1
bc,1
bd,1
bedzin,1
bel,1
belem,1
bentre,1
beskidy,1
bhz,1
bialowieza,1
bialystok,1
bielawa,1
bieszczady,1
bihar,1
binhdinh,1
binhduong,1
binhphuoc,1
binhthuan,1
bio,1
bj,1
bmd,1
boavista,1
boleslawiec,1
bolivia,1
bolt,1
brand,1
broker,1
bsb,1
busan,1
business,1
bydgoszcz,1
bytom,1
caa,1
camau,1
campinagrande,1
campinas,1
cantho,1
caobang,1
cargo,1
casino,1
catering,1
catholic,1
caxias,1
cc,1
cci,1
ce,1
certification,1
championship,1
charter,1
chef,1
cherkassy,1
cherkasy,1
chernigov,1
chernihiv,1
chernivtsi,1
chernovtsy,1
chtr,1
chungbuk,1
chungnam,1
ciencia,1
cieszyn,1
cim,1
city,1
civilaviation,1
ck,1
cng,1
cnt,1
cog,1
commune,1
conference,1
consulado,1
consultant,1
consulting,1
cont,1
contagem,1
control,1
cooperativa,1
council,1
coz,1
cq,1
cr,1
crew,1
crimea,1
cs,1
ct,1
cue,1
cuiaba,1
curitiba,1
cv,1
czeladz,1
czest,1
daegu,1
daejeon,1
daklak,1
daknong,1
danang,1
dc,1
de,1
def,1
delhi,1
democracia,1
dent,1
deporte,1
des,1
desa,1
design,1
det,1
dev,1
df,1
dgca,1
dgn,1
dienbien,1
disco,1
dlugoleka,1
dn,1
dnepropetrovsk,1
dni,1
dnipropetrovsk,1
doc,1
donetsk,1
dongnai,1
dongthap,1
dp,1
dst,1
e12,1
e164,1
eaton,1
ebiz,1
ecn,1
ecologia,1
econo,1
economia,1
educator,1
ekloges,1
elblag,1
elk,1
emb,1
embaixada,1
emergency,1
emp,1
emprende,1
empresa,1
enf,1
engine,1
engineer,1
ens,1
entertainment,1
equipment,1
er,1
erotica,1
erotika,1
esm,1
esp,1
est,1
etc,1
eti,1
eu,1
eun,1
exchange,1
express,1
fam,1
far,1
federation,1
feira,1
fh,1
fhsk,1
fhv,1
fi,1
fie,1
film,1
fj,1
fl,1
flight,1
flog,1
floripa,1
fnd,1
fortal,1
forum,1
foz,1
freight,1
from,1
fst,1
fuel,1
g12,1
ga,1
gal,1
game,1
games,1
gangwon,1
gc,1
gd,1
geek,1
geo,1
ggf,1
gialai,1
gkp,1
gliding,1
glogow,1
gmina,1
gniezno,1
gog,1
goiania,1
gok,1
gop,1
gorlice,1
gos,1
government,1
govt,1
grajewo,1
greta,1
griw,1
grondar,1
groundhandling,1
group,1
grp,1
gru,1
gs,1
gsm,1
gu,1
guam,1
gub,1
gujarat,1
gwangju,1
gx,1
gye,1
gyeongbuk,1
gyeonggi,1
gyeongnam,1
gz,1
ha,1
hagiang,1
haiduong,1
haiphong,1
hanam,1
hanggliding,1
hanoi,1
hatinh,1
haugiang,1
hb,1
he,1
hk,1
hl,1
hn,1
hoabinh,1
home,1
homebuilt,1
hs,1
huissier-justice,1
hungyen,1
ibr,1
ic,1
idf,1
if,1
il,1
ilawa,1
imb,1
in-addr,1
incheon,1
indigena,1
industria,1
ing,1
ingatlan,1
inst,1
insurance,1
internet,1
intl,1
ip6,1
iris,1
is,1
isa,1
isla,1
its,1
ivano-frankivsk,1
iwi,1
iz,1
j,1
jab,1
jampa,1
jaworzno,1
jdf,1
jeju,1
jelenia-gora,1
jeonbuk,1
jeonnam,1
jgora,1
jl,1
jogasz,1
joinville,1
jor,1
journal,1
journalist,1
js,1
jur,1
jus,1
jx,1
kalisz,1
karpacz,1
kartuzy,1
kaszuby,1
katowice,1
kazimierz-dolny,1
kep,1
kepno,1
ketrzyn,1
kg,1
kh,1
khanhhoa,1
kharkiv,1
kharkov,1
kherson,1
khmelnitskiy,1
khmelnytskyi,1
kiengiang,1
kiev,1
kirovograd,1
kiwi,1
klodzko,1
km,1
kmpsp,1
kobierzyce,1
kolobrzeg,1
komforb,1
kommunalforbund,1
komvux,1
konin,1
konskowola,1
konsulat,1
kontum,1
konyvelo,1
kop,1
kppsp,1
kr,1
kropyvnytskyi,1
krym,1
kutno,1
kv,1
kwp,1
kwpsp,1
ky,1
kyiv,1
la,1
laichau,1
lakas,1
lamdong,1
lanbib,1
langson,1
laocai,1
lapy,1
lat,1
leasing,1
lebork,1
leg,1
legnica,1
leilao,1
lel,1
lezajsk,1
lg,1
limanowa,1
ln,1
log,1
logistics,1
loisirs,1
loj,1
lomza,1
londrina,1
longan,1
lowicz,1
lt,1
lubin,1
lugansk,1
luhansk,1
lukow,1
lutsk,1
lv,1
lviv,1
macapa,1
maceio,1
magazine,1
mail,1
maintenance,1
malbork,1
malopolska,1
manaus,1
maori,1
maringa,1
marketplace,1
mat,1
mazowsze,1
mazury,1
mb,1
md,1
medecin,1
medicina,1
mg,1
miasta,1
microlight,1
mielec,1
mielno,1
mincom,1
mk,1
mktg,1
mn,1
mod,1
modelling,1
mon,1
money,1
morena,1
movimiento,1
mp,1
mragowo,1
muni,1
mup,1
mutual,1
mw,1
my,1
mykolaiv,1
māori,1
naklo,1
namdinh,1
natal,1
natural,1
naturbruksgymn,1
navigation,1
nb,1
nd,1
news,1
nf,1
nghean,1
nh,1
nhs,1
nieruchomosci,1
nikolaev,1
ninhbinh,1
ninhthuan,1
nis,1
niteroi,1
nj,1
nl,1
nombre,1
not,1
notaires,1
noticias,1
nowaruda,1
ns,1
nsn,1
nsw,1
nu,1
nv,1
nx,1
ny,1
nysa,1
od,1
odesa,1
odessa,1
odo,1
odont,1
of,1
off,1
og,1
oh,1
oia,1
oirm,1
ok,1
oke,1
olawa,1
olecko,1
olkusz,1
olsztyn,1
on,1
ong,1
oow,1
opoczno,1
opole,1
osasco,1
oschr,1
ostroda,1
ostroleka,1
ostrowiec,1
ostrowwlkp,1
ote,1
other,1
oum,1
oz,1
palmas,1
parachuting,1
paragliding,1
parliament,1
paroch,1
parti,1
passenger-association,1
patria,1
pc,1
pg,1
pharmaciens,1
phd,1
phutho,1
phuyen,1
pi,1
pila,1
pilot,1
pinb,1
pisz,1
piw,1
pl,1
plo,1
plurinacional,1
po,1
poa,1
podhale,1
podlasie,1
police,1
politica,1
polkowice,1
poltava,1
pomorskie,1
pomorze,1
ponpes,1
post,1
powiat,1
ppg,1
pri,1
principe,1
prochowice,1
production,1
profesional,1
pruszkow,1
przeworsk,1
psc,1
psi,1
psic,1
psiq,1
psp,1
psse,1
pueblo,1
pulawy,1
pup,1
pvh,1
q,1
qc,1
qh,1
qld,1
qsl,1
quangbinh,1
quangnam,1
quangngai,1
quangninh,1
quangtri,1
radio,1
radom,1
rar,1
rawa-maz,1
re,1
realestate,1
recht,1
recife,1
recreation,1
red,1
reklam,1
repbody,1
research,1
restaurant,1
resto,1
revista,1
ri,1
ribeirao,1
riik,1
riobranco,1
riopreto,1
rivne,1
rj,1
rn,1
ro,1
rotorcraft,1
rovno,1
rr,1
rrpp,1
rs,1
rv,1
rybnik,1
rzeszow,1
rzgw,1
safety,1
sal,1
salud,1
salvador,1
sampa,1
sanok,1
santamaria,1
santoandre,1
saobernardo,1
saogonca,1
saotome,1
sb,1
sci,1
scientist,1
sdn,1
se,1
sebastopol,1
sec,1
sejny,1
senasa,1
seoul,1
services,1
sevastopol,1
sh,1
show,1
sjc,1
sk,1
sklep,1
sko,1
skoczow,1
skydiving,1
slask,1
slg,1
slupsk,1
slz,1
sm,1
sn,1
so,1
social,1
soctrang,1
software,1
sonla,1
sorocaba,1
sos,1
sosnowiec,1
sp,1
sr,1
srv,1
stalowa-wola,1
starachowice,1
stargard,1
starostwo,1
sth,1
student,1
suli,1
sumy,1
suwalki,1
swidnica,1
swiebodzin,1
swinoujscie,1
sx,1
szczecin,1
szczytno,1
szex,1
szkola,1
targi,1
tarnobrzeg,1
tas,1
tayninh,1
tc,1
te,1
tech,1
tecnologia,1
tel,1
teo,1
ternopil,1
test,1
tgory,1
thaibinh,1
thainguyen,1
thanhhoa,1
thanhphohochiminh,1
the,1
thuathienhue,1
tiengiang,1
tj,1
tksat,1
tmp,1
tn,1
to,1
tozsde,1
tra,1
trader,1
trading,1
trainer,1
transporte,1
travinh,1
trd,1
tsk,1
tt,1
tul,1
turek,1
turystyka,1
tuyenquang,1
tw,1
tx,1
tychy,1
udi,1
ug,1
ugim,1
uio,1
uk,1
ulsan,1
um,1
umig,1
union,1
up,1
upow,1
uppo,1
uri,1
urn,1
ustka,1
ut,1
utazas,1
uw,1
uz,1
uzhgorod,1
uzhhorod,1
uzs,1
v,1
va,1
veterinaire,1
vi,1
vic,1
video,1
vinhlong,1
vinhphuc,1
vinnica,1
vinnytsia,1
vix,1
vlog,1
vn,1
volyn,1
vt,1
walbrzych,1
warmia,1
warszawa,1
washtenaw,1
waw,1
wegrow,1
wi,1
wielun,1
wif,1
wiih,1
winb,1
wios,1
witd,1
wiw,1
wkz,1
wlocl,1
wloclawek,1
wodzislaw,1
wolomin,1
workinggroup,1
works,1
wroclaw,1
wsa,1
wskr,1
wsse,1
wuoz,1
wv,1
wy,1
wzmiuw,1
xj,1
xxx,1
xyz,1
xz,1
yalta,1
yenbai,1
yk,1
yn,1
zachpomor,1
zagan,1
zakarpattia,1
zaporizhzhe,1
zaporizhzhia,1
zarow,1
zgora,1
zgorzelec,1
zhitomir,1
zhytomyr,1
zj,1
zlg,1
zpisdn,1
zt,1
ак,1
обр,1
од,1
орг,1
пр,1
упр,1
אקדמיה,1
ישוב,1
ממשל,1
צהל,1
ايران,1
ایران,1
ทหาร,1
ธุรกิจ,1
รัฐบาล,1
ศึกษา,1
องค์กร,1
เน็ต,1
个人,1
敎育,1
箇人,1
組织,1
網络,1
组織,1
组织,1
网絡,1
